service,efa_date,delivery_start,delivery_end,efa,cleared_volume,clearing_price,service_type,auction_id
DCH,2023-12-15,2023-12-15T19:00:00+0000,2023-12-15T23:00:00+0000,6,1068.0,1.08,Response,63
DRL,2023-12-15,2023-12-15T19:00:00+0000,2023-12-15T23:00:00+0000,6,268.0,9.5,Response,63
DMH,2023-12-15,2023-12-15T15:00:00+0000,2023-12-15T19:00:00+0000,5,170.0,-1.18,Response,63
DRL,2023-12-15,2023-12-15T15:00:00+0000,2023-12-15T19:00:00+0000,5,269.0,11.04,Response,63
DCH,2023-12-15,2023-12-15T15:00:00+0000,2023-12-15T19:00:00+0000,5,940.0,0.7,Response,63
DML,2023-12-15,2023-12-15T15:00:00+0000,2023-12-15T19:00:00+0000,5,150.0,3.18,Response,63
DCL,2023-12-15,2023-12-15T15:00:00+0000,2023-12-15T19:00:00+0000,5,812.0,1.12,Response,63
DRH,2023-12-15,2023-12-15T15:00:00+0000,2023-12-15T19:00:00+0000,5,350.0,-8.28,Response,63
DRH,2023-12-15,2023-12-15T11:00:00+0000,2023-12-15T15:00:00+0000,4,349.0,-6.87,Response,63
DCL,2023-12-15,2023-12-15T11:00:00+0000,2023-12-15T15:00:00+0000,4,815.0,0.87,Response,63
DMH,2023-12-15,2023-12-15T11:00:00+0000,2023-12-15T15:00:00+0000,4,170.0,-0.74,Response,63
DCH,2023-12-15,2023-12-15T11:00:00+0000,2023-12-15T15:00:00+0000,4,940.0,0.76,Response,63
DML,2023-12-15,2023-12-15T11:00:00+0000,2023-12-15T15:00:00+0000,4,150.0,2.96,Response,63
DRL,2023-12-15,2023-12-15T11:00:00+0000,2023-12-15T15:00:00+0000,4,268.0,9.5,Response,63
DML,2023-12-15,2023-12-15T07:00:00+0000,2023-12-15T11:00:00+0000,3,150.0,3.17,Response,63
DRH,2023-12-15,2023-12-15T07:00:00+0000,2023-12-15T11:00:00+0000,3,350.0,-7.39,Response,63
